epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4937.31,0.75759,0.76152,1.03304,0.15614,0.2,0.29716,0.19057,1.49147,14.9677,1.5762,0.000902224,0.000902224,0.000902224
70,4993.1,0.6775,0.5483,1.00884,0.15614,0.2,0.29716,0.19057,1.49147,14.9677,1.5762,0.000908661,0.000908661,0.000908661
71,5050.37,0.56914,0.51704,0.90998,0.15614,0.2,0.29716,0.19057,1.49147,14.9677,1.5762,0.0009149,0.0009149,0.0009149
72,5103.18,0.67201,0.50802,1.00351,0.12605,0.2,0.14532,0.086,2.10786,14.6363,2.33736,0.000920941,0.000920941,0.000920941
73,5161.71,0.77008,0.5478,1.04071,0.12605,0.2,0.14532,0.086,2.10786,14.6363,2.33736,0.000926784,0.000926784,0.000926784
74,5216.11,0.69733,0.55003,0.98376,0.12605,0.2,0.14532,0.086,2.10786,14.6363,2.33736,0.000932429,0.000932429,0.000932429
75,5268.97,0.60125,0.51344,0.933,0.12417,0.4,0.06623,0.03526,2.4165,7.91103,2.55866,0.000937876,0.000937876,0.000937876
76,5323.95,0.77292,0.591,1.03204,0.12417,0.4,0.06623,0.03526,2.4165,7.91103,2.55866,0.000943125,0.000943125,0.000943125
77,5382.89,0.84553,0.83061,1.09164,0.12417,0.4,0.06623,0.03526,2.4165,7.91103,2.55866,0.000948176,0.000948176,0.000948176
78,5440.52,0.78087,0.68012,1.04133,0.53417,0.6,0.4576,0.3106,1.4861,3.81233,1.52988,0.000953029,0.000953029,0.000953029
79,5493.45,0.68175,0.60524,0.97761,0.53417,0.6,0.4576,0.3106,1.4861,3.81233,1.52988,0.000957684,0.000957684,0.000957684
80,5546.05,0.76842,0.58722,1.04384,0.53417,0.6,0.4576,0.3106,1.4861,3.81233,1.52988,0.000962141,0.000962141,0.000962141
81,5601.45,0.73138,0.56514,1.04907,0.18842,0.4,0.17952,0.11271,1.55832,8.58353,2.12553,0.0009664,0.0009664,0.0009664
82,5657.45,0.79945,0.62321,1.1,0.18842,0.4,0.17952,0.11271,1.55832,8.58353,2.12553,0.000970461,0.000970461,0.000970461
83,5713.04,0.76541,0.52436,1.03099,0.18842,0.4,0.17952,0.11271,1.55832,8.58353,2.12553,0.000974324,0.000974324,0.000974324
84,5776.46,0.84013,0.6313,1.05087,0.12591,0.4,0.10413,0.05305,1.9366,8.32127,2.26817,0.000977989,0.000977989,0.000977989
85,5833.78,0.69151,0.60644,1.02878,0.12591,0.4,0.10413,0.05305,1.9366,8.32127,2.26817,0.000981456,0.000981456,0.000981456
86,5883.62,0.68363,0.56842,1.04755,0.12591,0.4,0.10413,0.05305,1.9366,8.32127,2.26817,0.000984725,0.000984725,0.000984725
87,5937.19,0.66677,0.51143,0.90606,0.12591,0.4,0.10413,0.05305,1.9366,8.32127,2.26817,0.000987796,0.000987796,0.000987796
88,5989.74,0.72525,0.50616,0.97528,0.86388,0.2,0.20767,0.15992,2.19665,4.4848,2.31504,0.000990669,0.000990669,0.000990669
89,6045.24,0.72972,0.63022,1.02081,0.86388,0.2,0.20767,0.15992,2.19665,4.4848,2.31504,0.000993344,0.000993344,0.000993344
90,6100.75,0.64125,0.52869,0.94663,0.86388,0.2,0.20767,0.15992,2.19665,4.4848,2.31504,0.000995821,0.000995821,0.000995821
91,6168.81,0.67584,0.59297,1.00268,0.86388,0.2,0.20767,0.15992,2.19665,4.4848,2.31504,0.0009981,0.0009981,0.0009981
92,6221.26,0.67803,0.60332,1.01801,0.3187,0.2,0.2548,0.16629,1.49207,3.83185,1.65751,0.00100018,0.00100018,0.00100018
93,6274.31,0.61945,0.40375,0.98455,0.3187,0.2,0.2548,0.16629,1.49207,3.83185,1.65751,0.00100206,0.00100206,0.00100206
94,6326.5,0.64563,0.45806,0.98221,0.3187,0.2,0.2548,0.16629,1.49207,3.83185,1.65751,0.00100375,0.00100375,0.00100375
95,6379.1,0.65708,0.41458,0.94714,0.3187,0.2,0.2548,0.16629,1.49207,3.83185,1.65751,0.00100524,0.00100524,0.00100524
96,6432.79,0.62488,0.44303,0.9711,0.4262,0.8,0.54262,0.38083,1.00786,3.08057,1.22036,0.00100653,0.00100653,0.00100653
97,6484.04,0.59584,0.50673,0.96197,0.4262,0.8,0.54262,0.38083,1.00786,3.08057,1.22036,0.00100762,0.00100762,0.00100762
98,6543.28,0.60135,0.44699,0.90728,0.4262,0.8,0.54262,0.38083,1.00786,3.08057,1.22036,0.00100851,0.00100851,0.00100851
99,6596.83,0.5635,0.40393,0.90847,0.4262,0.8,0.54262,0.38083,1.00786,3.08057,1.22036,0.0010092,0.0010092,0.0010092
100,6654.28,0.59041,0.44978,0.92751,0.8244,1,0.96167,0.68287,0.98971,2.76589,1.11799,0.0010097,0.0010097,0.0010097
101,6702.66,0.61379,0.51298,0.97361,0.8244,1,0.96167,0.68287,0.98971,2.76589,1.11799,0.00101,0.00101,0.00101
